QR1,QR2,QC1,QC2,SAF,GREEN DIESEL (G),NAPHTHA (N)
598.654577,326.147276,420.788153,347.056317,1231.06845,103.783062,839.943107
187.833423,425.448228,92.8163968,419.095956,1351.38327,78.4923922,238.218795
221.26362,191.309756,100.999505,188.943966,1221.40384,61.1124526,549.228146
664.867539,714.726037,442.390215,701.793239,1985.93716,501.964239,941.319857
449.542033,141.58496,288.275705,143.400112,980.200328,264.123317,1001.25826
340.622826,393.997173,191.737384,394.801761,1397.97601,119.217686,645.791252
377.85873,369.216202,265.125509,362.291983,1004.53115,131.432962,551.412333
219.84245,1038.74694,75.6888388,993.295915,2362.35883,447.073467,302.154341
410.282726,801.166506,213.077953,809.559874,1544.26554,213.854211,815.054647
235.545154,710.706716,72.3868466,700.221153,2221.66944,87.0832426,536.047708
526.554499,829.612538,274.490322,828.135297,2051.26193,479.458664,936.638388
149.521321,376.330547,50.2169697,363.594274,1114.44487,123.584458,386.233388
197.700201,215.887549,75.182897,203.002237,862.326199,332.286216,643.959622
264.322999,903.560069,134.326002,871.456556,1753.13577,322.663941,339.513875
415.292418,531.712051,227.015728,532.543772,1171.46701,277.502805,1170.02434
317.871792,266.242588,145.170801,272.939741,1433.98058,72.9622839,849.243998
439.048115,965.923373,216.971807,966.081006,2283.5282,153.277764,971.207543
316.333624,423.972751,155.435938,384.978561,2267.50623,283.598807,411.046225
282.064861,310.676644,156.821777,296.883106,1701.81981,110.448565,376.615696
354.791091,460.249293,146.212418,466.642562,1328.00248,215.128203,1190.31621
153.646293,420.558089,43.9903377,409.721525,1411.72712,140.909244,361.433421
408.549989,493.67558,200.167098,475.120939,1449.90382,466.724991,1090.23603
190.51835,600.485592,88.2567193,563.913101,1356.85355,323.398734,238.071631
165.249953,490.31529,55.8579204,472.367692,1507.95045,189.86552,292.435463
223.777815,829.62003,71.1729486,787.20911,1975.52603,469.012012,375.272856
263.307474,472.048535,96.7217831,466.799813,1578.55345,155.582467,777.634992
393.907061,111.512671,284.226291,106.673336,811.211677,150.141055,595.487506
620.76656,213.28727,448.188725,206.379711,1310.50492,238.075024,923.562016
281.363932,438.860458,140.968463,413.146014,2113.85629,133.48489,352.973424
368.803977,579.88475,247.947773,573.830385,1162.70702,58.3413625,577.299753
380.933822,394.095173,179.690794,387.304164,1322.37964,250.177828,1261.13819
